lsoa,place,distance,area
E01000001,London,3058.99056512585,129865.337597001
E01000002,London,3328.49537589585,228419.333116991
E01000003,London,3326.89818470518,59054.0131195028
E01000005,London,4259.58740250541,189577.165140505
E01000006,London,16000.8060013708,146536.5204375
E01000007,London,15277.7827585773,200093.951638995
E01000008,London,14770.4303829817,195064.797626508
E01000009,London,15724.3585236395,127961.805790001
E01000010,London,15255.0187673409,352067.265691
E01000011,London,15596.9253608269,91630.5504610027
E01000012,London,15141.2791836713,139051.120092494
E01000013,London,20053.3606117131,207829.811484999
E01000014,London,19589.3382971029,341219.64116
E01000015,London,20695.6585487118,280627.512440497
E01000016,London,20557.0586250028,198778.345311503
E01000017,London,20164.3906013228,158369.446261
E01000018,London,20490.0545865415,173981.2235265
E01000019,London,18727.7808074072,183865.553803502
E01000020,London,18943.6410249703,187235.6578085
E01000021,London,18305.518874788,169362.929248499
E01000022,London,18630.2049838242,128261.893382
E01000023,London,17874.8285065419,207296.044125509
E01000024,London,18515.7663449115,128639.522732998
E01000025,London,18272.2180008087,153350.214488498
E01000027,London,21487.3492139636,1474529.654098
E01000028,London,20431.8525372246,143894.151899998
E01000029,London,20507.0819338963,256877.020001
E01000030,London,20797.8269755488,286265.528213502
E01000031,London,21128.0445922811,843423.17890849
E01000032,London,20238.509254952,375434.007939508
E01000033,London,21439.7932428131,145321.190005502
E01000034,London,22084.5102524716,513671.623217993
E01000035,London,21298.9462649686,397163.473731503
E01000036,London,21564.8652336994,418688.533281509
E01000037,London,22780.2651539888,233432.41403
E01000038,London,22372.8332663174,214042.6133495
E01000039,London,22450.0934613866,1531804.19638999
E01000040,London,16553.5464925822,170707.863342998
E01000041,London,17856.2356980075,152636.76053
E01000042,London,17203.2684738196,231230.694114996
E01000043,London,16664.0705351368,266367.089694999
E01000044,London,16053.2430479148,170628.521451006
E01000045,London,17402.6065538093,298245.664186003
E01000046,London,18079.7282243133,155492.621338003
E01000048,London,15503.279667601,64692.3043130011
E01000049,London,15664.3255276106,212168.004624495
E01000050,London,15724.7662501078,137660.347684997
E01000051,London,15471.6104794475,66682.943359503
E01000052,London,16160.1037448447,199635.253852002
E01000053,London,19639.5566279156,180904.110506998
E01000054,London,18932.2157593438,171140.572463504
E01000055,London,18495.1738628595,146059.816033004
E01000056,London,19202.1095464158,243573.731098002
E01000057,London,18570.1450774565,147676.325334992
E01000058,London,19239.9823344702,182189.738031502
E01000059,London,19564.6865992428,208414.452758004
E01000060,London,21168.4164197082,550067.703058478
E01000061,London,21328.9346214079,610450.407041513
E01000062,London,20691.8183440446,221342.294778997
E01000063,London,20325.490760592,181221.069309503
E01000064,London,21039.4953422041,208815.727211004
E01000065,London,20091.6248137437,233555.269406003
E01000066,London,17383.4544164332,244939.865198995
E01000067,London,17073.2909376669,192455.273953
E01000068,London,16071.0489005308,339815.088452007
E01000069,London,16886.8266394121,200594.590096006
E01000070,London,16412.8537644426,391782.480367497
E01000071,London,16781.3999698181,270533.452247997
E01000072,London,17600.752277112,520106.852142006
